Questions,Category
"Suppose Host A wants to send a large file to Host B. The path from Host A to
 Host B has three links, of rates R1 = 500 kbps, R2 = 2 Mbps, and R3 = 1 Mbps. Assuming no other traffic in the network, what is the throughput for the
 file transfer?",Application
Design and describe an application-level protocol to be used between an automatic teller machine and a bank?s centralized computer as you wish.,Synthesis
"Equation 1.1 gives a formula for the end-to-end delay of sending one packet of length L over N links of transmission rate R. Generalize this formula for
 sending P such packets back-to-back over the N links.",Application
Review the car-caravan analogy in Section 1.4. Assume a propagation speed of 100 km/hour.,Evaluation
"Express the propagation delay, dprop, in terms of m and s.",Synthesis
"Suppose s = 2.5 ˙ 108, L = 120 bits, and R = 56 kbps. Find the distance mso that dprop equals dtrans.",Application
Find the average and standard deviation of the round-trip delays at each of the three hours.,Application
Find the number of routers in the path at each of the three hours. Did the paths change during any of the hours?,Application
"Derive a general expression for throughput in terms of Rs , Rc, R, and M.",Synthesis
"Suppose two hosts, A and B, are separated by 20,000 kilometers and are connected by a direct link of R = 2 Mbps. Suppose the propagation speed
 over the link is 2.5*108 meters/sec. Calculate the bandwidth-delay product, R dprop.",Application
"Derive a general expression for the width of a bit in terms of the propagation speed s, the transmission rate R, and the length of the link m.",Synthesis
Discuss the drawbacks of message segmentation.,Comprehension
"For a P2P file-sharing application, do you agree with the statement, ?There is no notion of client and server sides of a communication session?? Why or why not?",Analysis
"List the four broad classes of services that a transport protocol can provide. For each of the service classes, indicate if either UDP or TCP (or both) provides such a service.",Knowledge
What is an overlay network? Does it include routers? What are the edges in the overlay network?,Knowledge
List at least four different applications that are naturally suitable for P2P architectures.,Knowledge
Now suppose a cache is installed in the institutional LAN. Suppose the miss rate is 0.4. Find the total response time.,Application
Write a simple TCP program for a server that accepts lines of input from a client and prints the lines onto the server?s standard output.,Synthesis
Suppose that in the five-minute interval no new messages have been sent to you. Provide a transcript of this second POP session.,Synthesis
Discuss why whois databases should be publicly available.,Comprehension
Describe how an attacker can use whois databases and the nslookup tool to perform reconnaissance on an institution before launching an attack.,Comprehension
"Conclude that the minimum distribution time is in general given by max{NF/us , F/ dmin}.",Evaluation
Can you configure your browser to open multiple simultaneous connections to a Web site?,Analysis
What is the Apache Web server? How much does it cost?,Knowledge
develop a simple Web server in Python that is capable of processing only one request.,Synthesis
"write a client ping program in Python. Your client will send a simple ping message to a server, receive a corresponding pong message back from the server.",Synthesis
"create a simple mail client that sends email to any recipient. Your client will need to establish a TCP connection with a mail server dialogue with the mail server using the
 SMTP protocol, send an email message to a recipient via the mail server, and finally close the TCP connection.",Synthesis
"develop a Web proxy. When your proxy receives an HTTP request for an object from a browser, it generates a new HTTP request for the same object and sends it to the origin server",Synthesis
Design the simplest possible transport-layer protocol that will get application data to the desired process at the destination host.,Synthesis
"Is it possible for an application to enjoy reliable data transfer even when the application runs over UDP? If so, how?",Analysis
What are the source and destination port values in the segments flowing from the server back to the clients? processes?,Knowledge
Suppose you have the following 2 bytes: 01011100 and 01100101. What is the 1s complement of the sum of these 2 bytes?,Analysis
Draw the FSM for the receiver side of protocol rdt3.0.,Knowledge
"Draw a diagram showing that if the network connection between the sender and receiver can reorder messages , then the alternating-bit protocol will not work correctly",Synthesis
Design an error-control protocol for the unidirectional reliable transfer of messages. Give an FSM description of the sender and receiver.,Synthesis
"Design (give an FSM description of) a protocol that incorporates the appropriate mechanisms to compensate for the loss-prone A-to-B channel and
 implements message passing to the layer above at entity A, as discussed above.",Synthesis
compute the TCP TimeoutInterval after each of these samples is obtained.,Application
"Argue that in order for
 the link to always be busy sending data, we would like to choose a buffer size that is at least the product of the link speed C and the two-way propagation
 delay between the sender and the receiver.",Evaluation
Argue that T is a function of TCP?s average throughput.,Evaluation
"Do the routers in both datagram networks and virtual-circuit networks use forwarding tables? If so, describe the forwarding tables for both classes of networks.",Analysis
List some applications that would benefit from ATM?s CBR service model.,Knowledge
What are the three most important network-layer functions in a virtualcircuit network?,Knowledge
Describe how packet loss can occur at input ports. Describe how packet loss at input ports can be eliminated (without using infinite buffers).,Comprehension
Describe how packet loss can occur at output ports. Can this loss be prevented by increasing the switch fabric speed?,Comprehension
Discuss why each input port in a high-speed router stores a shadow copy of the forwarding table.,Analysis
What is HOL blocking? Does it occur in input ports or output ports?,Knowledge
Compare and contrast the IPv4 and the IPv6 header fields. Do they have any fields in common?,Comprehension
Is it necessary that every autonomous system use the same intra-AS routing algorithm? Why or why not?,Analysis
Compare and contrast the advertisements used by RIP and OSPF.,Comprehension
"Define and contrast the following terms: subnet, prefix, and BGP route.",Knowledge
Describe how a network administrator of an upper-tier ISP can implement policy when configuring BGP.,Comprehension
What are the roles played by the IGMP protocol and a wide-area multicast routing protocol?,Knowledge
"Provide a forwarding table that has five entries, uses longest prefix matching, and forwards packets to the correct link interfaces.",Synthesis
Compute the distance tables after the initialization step and after each iteration of a synchronous version of the distance-vector algorithm,Application
"Argue that for the distance-vector algorithm in Figure 4.30, each value in the distance vector D(x) is non-increasing and will eventually stabilize in a finite number of steps",Evaluation
Will a BGP router always choose the loop-free route with the shortest ASpath length? Justify your answer.,Analysis
Design (give a pseudocode description of) an application-level protocol that maintains the host addresses of all hosts participating in a multicast group.,Synthesis
Write your own Ping application in Python. Your application will use ICMP. But in order to keep your program simple.,Synthesis
What is the maximum number of VLANs that can be configured on a switch supporting the 802.1Q protocol? Why?,Knowledge
"Assuming email usage and video usage are independent, for what fraction of time do (equivalently, what is the probability that) both applications need their fourth rack?",Application
"If a node has a wireless connection to the Internet, does that node have to be mobile? Explain.",Comprehension
What is an operating system?,Knowledge
Recite the main purpose of an operating system.,Knowledge
Name different types of operating systems.,Knowledge
Define socket,Knowledge
Draw and label the conceptual view of computer systems.,Knowledge
What is kernel?,Knowledge
What do you mean by monolithic kernel?,Knowledge
Recall a Process's definition,Knowledge
Make a list of different operating systems and it's examples.,Knowledge
List the different states of a process.,Knowledge
Describe micro kernel and macro kernel.,Comprehension
Explain the concept of reentrancy.,Comprehension
Briefly describe process and program.,Comprehension
Tell in your words the use of paging in operating system.,Comprehension
State in your own words the concept of demand paging?,Comprehension
Discuss the advantages of a multiprocessor system,Comprehension
Restate virtual memory.,Comprehension
Rewrite thrashing.,Comprehension
In one sentence explain deadlock.,Comprehension
Paraphrase thread.,Comprehension
Apply your understanding to scheduling Algorithms.,Application
Can you group the given processes into different kinds of scheduling algorithms they follow.?,Application
Show the output of given code snippet.,Application
Categorise operating sytems with demonstrations.,Application
choose any one of the scheduling algorithms and apply understanding to it or demonstrate it.,Application
Compute page fault if page reference are given,Application
Construct a page table entry and demonstrate its contents.,Application
How would you show Inter Process Communication(IPC).,Application
Draw file system organized in many layers.,Application
what would result when a program attempts to access a block of memory that is not stored in the physical memory?,Application
Analyze the conditions and characteristics for deadlocks.,Analysis
Can you distinguish between mutex and semaphore?,Analysis
Can you explain what must have happened during communication between processes using shared memory method.?,Analysis
Differentiate between shared memory and message passing.,Analysis
Distinguish between independent and co-operating processes.,Analysis
Examine what helps to make a better solution for dining philosophers problem.,Analysis
How does Process Image differ from Multi Thread Process image.,Analysis
How would you distinguish between spooling and buffering?,Analysis
Explain the term Process image By making reference to its contents.,Analysis
In what ways do buffering differ from caching in os?,Analysis
Justify your thought of synchronization in distributed systems.,Evaluation
Identify one problem in detecting deadlocks and give an alternate solution to this which is not given by the author.,Synthesis
Plan a research paper on an new algorithm that could detect deadlocks .,Synthesis
Invent different conditions to detect deadlocks.,Synthesis
How could you re-write caching with all the necessary conditions and points.,Synthesis
Design a code snippet to implement LRU cache.,Synthesis
What new ideas can you add to the LRU cache implementation.,Synthesis
What solutions would you suggest to differentiate preemptive from Non-preemptive scheduling.,Synthesis
Write a Java program to find the number of page faults using least recently used (LRU) page replacement algorithm with 3 page frames.,Synthesis
"Predict which algorithm among FCFS, SJF And Round Robin with quantum 10,would give the minimum average time for a given workload.",Application
After solving Scheduling problem with an example determine the degree to which the problem was solved as efficiently as possible,Evaluation
Assess the strength and weaknesses of Banker's algorithm.,Evaluation
conclude and support which one of the disk scheduling algorithms gives better solution.,Evaluation
Evaluate the prerequisite for understanding convoy effect.,Evaluation
choose and illustrate two better process schedulers .,Evaluation
Decide which one method of preventing zombie process methods is better.?,Evaluation
Decide if all the algorithms that you have learnt in operating systems were helpful while applying to few of your daily problems.,Evaluation
Do you agree if we say SSTF is one of the better and widely known disk scheduling algorithm,Evaluation
What do you think about fork() system call OS.,Evaluation
"Given a snippet of code ,decide which one of the processes gets executed first.",Evaluation
consider whether the operating system should include applications such as web browsers and mail programs. Conclude with your suggestion.,Evaluation
Timers could be used to compute the current time. Provide a short description of how this could be accomplished.,Synthesis
Distinguish between the client?server and peer-to-peer models of distributed systems.,Comprehension
Under what circumstances would a user be better off using a timesharing system than a PC or a single-user workstation?,Analysis
Describe the differences between symmetric and asymmetric multiprocessing. What are three advantages and one disadvantage of multiprocessor systems?,Comprehension
What are some advantages of peer-to-peer systems over client-server systems?,Knowledge
Identify several advantages and several disadvantages of open-source operating systems.,Knowledge
What are the three major activities of an operating system with regard to secondary-storage management?,Knowledge
List five services provided by an operating system. In which cases would it be impossible for user-level programs to provide these services?,Knowledge
Would it be possible for the user to develop a new command interpreter using the system-call interface provided by the operating system?,Analysis
Write a program that copies the contents of one file to a destination file. This program works by first prompting the user for the name of the source and destination files.,Synthesis
"Construct a process tree similar to Figure 3.8. To obtain process information for the UNIX or Linux system, use the command ps -ael.",Synthesis
implement a mutex lock using an atomic hardware instruction. Assume that the following structure defining the mutex lock is available,Application
implement the wait() and signal() semaphore operations in multiprocessor environments using the test and set() instruction. The solution should exhibit minimal busy waiting.,Application
Demonstrate that monitors and semaphores are equivalent insofar as they can be used to implement solutions to the same types of synchronization problems.,Application
Design an algorithm for a bounded-buffer monitor in which the buffers (portions) are embedded within the monitor itself.,Synthesis
Classify Linux threads as user-level threads or as kernel-level threads? Support your answer with the appropriate arguments.,Comprehension
Discuss how the clone() operation supported by Linux is used to support both processes and threads.,Comprehension
"Apply the random page-reference string to each algorithm, and record the number of page faults incurred by each algorithm.",Application
Examine a set of processes that cannot be scheduled using the rate-monotonic algorithm.,Analysis
Examine two strategies for managing free memory that is assigned to kernel processes: the ?buddy system? and slab allocation,Analysis
Evaluate an algorithm by running it on a particular string of memory references and computing the number of page faults,Evaluation
Decide whether to grant a request when it cannot trust the named source of the request?,Evaluation
"Argue for or against the judicial sentence handed down against Robert Morris, Jr., for his creation and execution of the Internet worm",Evaluation
What can you conclude about the number of years for which one of these drives is under warranty?,Evaluation
"Pick some learning task not mentioned in this chapter. Describe it by stating as precisely as possible the task, performance measure, and training experience.",Comprehension
Give three computer applications for which machine learning approaches seem appropriate and three for which they seem inappropriate.,Knowledge
"Implement an algorithm similar to that discussed for the checkers problem, but use the simpler game of tic-tac-toe.",Application
Prove that the LMS weight update rule described in this chapter performs a gradient descent to minimize the squared error,Evaluation
Let us say you are given the task of building an automated taxi. Define the constraints. What are the inputs? What is the output?,Analysis
How can you predict the next command to be typed by the user? Or the next page to be downloaded over the Web?,Analysis
"In estimating the price of a used car, rather than estimating the absolute price it makes more sense to estimate the percent depreciation over the original price. Why?",Analysis
The complexity of most learning algorithms is a function of the training set. Can you propose a filtering algorithm that finds redundant instances?,Evaluation
One source of noise is error in the labels. Can you propose a method to find data points that are highly likely to be mislabeled?,Synthesis
"Generate normal samples for two classes with different variances, then use parametric classification to estimate the discriminant points. Compare these with the theoretical values.",Synthesis
"Generate a sample from a multivariate normal density N (?, ‰),calculate m and S, and compare them with ? and ‰ Check how your estimates change as the sample size changes.",Synthesis
"Generate samples from two multivariate normal densities N (?i, ‰i), i = 1, 2, and calculate the Bayes? optimal discriminant for the four cases",Synthesis
"In mixture of experts, we can have different experts use different input representations. How can we design the gating network in such a case?",Synthesis
Write down the graphical model for linear logistic regression for two classes,Knowledge
Propose a suitable goodness measure that can be used in learning graph structure as a state-space search. What are suitable operators?,Synthesis
Draw the Necker cube as a graphical model defining links to indicate mutually reinforcing or inhibiting relations between different corner interpretations.,Knowledge
"Show that in a directed graph where the joint distribution is written as equation 16.12,  x p(x) = 1.",Evaluation
"Propose an incremental version of the running mean estimator, which, like the condensed nearest neighbor, stores instances only when necessary.",Synthesis
"In the running smoother, we can fit a constant, a line, or a higher-degree polynomial at a test point. How can we choose between them?",Analysis
Generalize kernel smoother to multivariate data,Evaluation
Propose a tree induction algorithm with backtracking,Synthesis
Derive a learning algorithm for sphere trees (equation 9.21). Generalize to ellipsoid trees.,Synthesis
How can you predict the next command to be typed by the user? Or the next page to be downloaded over the Web? When would such a prediction be useful?,Evaluation
"In cascade correlation, what are the advantages of freezing the previously existing weights?",Knowledge
"Parity is cyclic shift invariant; for example, ?0101? and ?1010? have the same parity. Propose a multilayer perceptron to learn the parity function using this hint.",Synthesis
Write down the RBF network that uses elliptic units instead of radial units as in equation 12.13.,Knowledge
Formalize a mixture of experts architecture where the experts and the gating network are multilayer perceptrons.,Evaluation
Formalize the hierarchical mixture of experts architecture with two levels.,Evaluation
compare cooperative and competitive models for classification tasks,Comprehension
Compare the number of parameters of a mixture of experts architecture with an RBF network.,Comprehension
"You can fax a document,or you can use an optical character reader (OCR) and send the text file. Discuss the advantage and disadvantages of the two approaches.",Comprehension
Discuss bias and variance decomposition for several learning models,Comprehension
Discuss an application where there are hidden factors (not necessarily linear) and where factor analysis would be expected to work well.,Comprehension
Find the dependence between two items X and Y. Given a database of customer transactions.,Application
"In a scale of 0 to 10, how can you use this extra information to calculate which item to propose to a customer?",Application
"Given two normal distributions p(x|C1) ? N(?1, Â2 1 ) and p(x|C2) ? N(?2, Â2 2 ) and P(C1) and P(C2), calculate the Bayes? discriminant points analytically.",Application
calculate the probability of a given state sequence. How can the parameters be learned for the case of a observable model?,Application
How can we have an incremental HMM where we add new hidden states when necessary?,Application
Define a multivariate Bernoulli mixture where inputs are binary and derive the EM equations.,Knowledge
Write the error function for loess.,Knowledge
Write down the definition of data structures?,Knowledge
Define storage structure?,Knowledge
What is Linear search?,Knowledge
Define Space Complexity,Knowledge
List the types of Binary Search Tree.,Knowledge
What is a Priority Queue?,Knowledge
Name the two fields of Linked list?,Knowledge
List three examples that uses linked list?,Knowledge
Define pre-order traversal?,Knowledge
Name the different ways of representing a graph?,Knowledge
List the limitations of arrays,Knowledge
List the three fields of Doubly Linked list,Knowledge
Define in -order traversal?,Knowledge
Define complete binary tree?,Knowledge
List the phases of garbage collection,Knowledge
List the types of automatic list management,Knowledge
List out the steps involved in deleting a node from a binary search tree.,Knowledge
Explain the linked list representation of a list with an example.,Comprehension
Explain the dynamic memory management with necessary methods.,Comprehension
Discuss in detail about the implementation of sum of n terms S=1+ (1/2) + (1/3) +?. algorithm,Comprehension
Convert the infix expression (A-B/C)*(D/E-F) into a postfix.,Comprehension
Explain the representations of priority queue.,Comprehension
Explain threaded binary tree ADT in detail.,Comprehension
Explain Dijkstra's algorithm with an example?,Comprehension
Explain Krushal's algorithm with an example,Comprehension
Explain the procedure of merge sort,Comprehension
Translate infix expression into its equivalent post fix expression:A*(B+D)/E-F*(G+H/K),Comprehension
"Convert following Infix expression into Postfix expression using Tabular
 method.a ? b / c * d + e * f / g",Comprehension
"Explain various multiple key access file organization in brief with
 advantages and disadvantages of each method",Comprehension
"Discuss following with reference to trees.(i) Height of the tree (ii) Complete Binary Tree (iii) Expression tree
 (iv) Sibling (v) Full Binary Tree",Comprehension
"Explain Inorder, Preorder and Postorder Traversal operation on Binary tree with example.",Comprehension
Describe in detail about separate chaining.,Comprehension
Differentiate between data type and data structures.,Comprehension
Explain AVL rotation.,Comprehension
Discuss the concept of AVL Tree in Detail with example.,Comprehension
Calculate sum of all elements in a sub-matrix in constant time,Application
Calculate number of paths in a matrix with given cost to reach destination cell,Application
"Show the result of accessing the keys 3,9,1,5 in order in the splay tree in the following figure",Application
"Show the result of inserting 2,4,1,5,9,3,6,7 in to an initially empty AVL Tree.",Application
"Draw a Binary search tree for the following input list 60,25,75,15,50,66,33,44.Trace the algorithm to delete the nodes 25,75,44 from the tree.",Application
Show that for the perfect binary tree of height h containing 2h+1-1nodes.,Application
Calculate height of a binary tree | Iterative & Recursive,Application
Calculate frequency of all elements present in an array of specified range,Application
"Write an algorithm for finding minimum spanning tree and explain application,illustrate the algorithm with typical data of yours own example.",Application
"Solve the postfix expression (step by step): 10, 5, 3, *, +, 25, 5, /, -",Application
Write a C program to solve the problem of Tower of Hanoi using recursion,Application
"Demonstrate Insertion sort to sort numbers 23,12,6,17,54,18,19,27,38,29",Application
Demonstrate ?Incidence Matrix? of a directed graph by diagram and matrix.,Application
Formulate space utilization in Extended/Dynamic hashing,Application
Implement DFS traversal of a graph by a recursive function in C.,Application
Can you differentiate between merge sort and quick sort?,Analysis
Compare advantages and disadvantages of using recursion compared to iteration,Analysis
Analyse if the heap sort always better than the quick sort,Analysis
Classify the Hashing Functions based on the various methods by which the keyvalue is found.,Analysis
What is the difference between storing data on the heap vs. on the stack?,Comprehension
Compare linked list and linear array representations of a data structure.,Analysis
Compare insertion and deletion in Btree and b+tree,Analysis
Compare and contrast?dense index? and ?sparse index? in file organization,Analysis
Illustrate the traversal algorithms and node representation of binary trees with examples.,Analysis
Comapre and contrast between linear linked list and circular linked list,Analysis
Give the analysis of insertion and deletion in binary search tree.,Analysis
"State different File Organizations .Comapre and contrast them.
 disadvantages of each of them.",Analysis
"Assume the recurrance relation T(N) = 2T(N/2)+N,N>=2 with boundary condition T(1) =0 . Analyse the time complexity",Analysis
"In RDBMS, analyse which efficient data structure can be used in the internal storage representation?",Analysis
Assume that the base address of the array is 2000. give an expression that computes the address of the element a[i][j][k] of the array.,Analysis
Write a C program of sorting a set of numbers in decending order using selection sort and analyse the complexity ogf the algorithm,Analysis
Prove that the maximum number of edges that a graph with n Vertices is n*(n-1)/2.,Evaluation
".If you are using C language to implement the heterogeneous linked list, choose what pointer type you will use?",Evaluation
Does the minimum spanning tree of a graph give the shortest distance between any 2 specified nodes?,Evaluation
"Evaluate P: 12 , 7 , 3 , - , / , 2 , 1 , 5 , + , * , + , )",Evaluation
Can a binary tree be uniquly re-constructed given its preorder and post order traversals ? Justify your answer,Evaluation
To find maximum elements of a square matrix nxn takes quadratic time. Justify.,Evaluation
"Suppose P(n) = a0+a1n+a2n2+?.+amnm,that is suppose degree of P(n) =m .Prove that P(n) =O(nm).",Evaluation
Recursion is better than insertion' . Critically comment this statement.,Evaluation
"Usually a queue is implemented using two pointers ie front and rear . Is it possible to implement a linked queue that requires only one pointer? If yes ,how to implement.",Evaluation
It's recommended that the precondition be checked at the start of a method.Justify.,Evaluation
Justify why it is a bad idea to implement a linked list version a queue which uses the head of the list as the rear of the queue.,Evaluation
How may Djikstra's algorithm be modified to determine if it is possible to get from a given vertex to all other vertices in the graph?,Evaluation
"For the given binary search tree, if we remove the root and replace it with
 something from the left sub-tree. What will be the value of the new root?
 Justify your answer.",Evaluation
"Identify the suitable tree data structure for representing data {50, 30, 60, 40,
 35, 80,-90) so that the tipe complexity involved in searching the key should be
 *i""i*;. r""y tt r""u different rroolirrurt d,ata structures and give diagammatic
 representation of data. The data size may grow in future and may take any value. Justify your answer with valid reason",Evaluation
Prove that NP-completeness and 3d coloring is NP-complete,Evaluation
Design the function in c for shellsort,Synthesis
Design a program that creates random numbers in a given file.,Synthesis
design a program that implements depth first search algorithm.,Synthesis
Design an unbounded lock based stack which is implemented based on linked list,Synthesis
"Create a Binary Search Tree for the following data and do in-order, Preorder
 and Post-order traversal of the tree.50, 60, 25, 40, 30, 70, 35, 10, 55, 65, 5",Synthesis
"Design an O(n) - time algorithmthat, is given a real number x and a sorted array S of n numbers,determine wheater or not there exist two element in S whose sum is exactly x.",Synthesis
"Suppose we have an array of numbers a[1],?,a[n] in which the first I numbers a[1],?,a[i] have been sorted in acsending order and the remaining nos in descending order. The aim is to sort the entire array in ascending order .Design an algorithm which merges the two sorted arrays into the second array b[1],...,b[n] and copies the result back into a , show that the algorithm takes time O(n).",Synthesis
Design a method to stimulate the stack using queues assuming many queues are required.,Synthesis
Create an algorithm that adds an edgeinto the directed graph .,Synthesis
"Compose a program that implements the stacks by using linked list , specify the push and pop condition and include condition to check full and empty.",Synthesis
Differentiate ?Strongly connected? and ?Weakly connected? digraph with example.,Comprehension
Demonstrate ?Incidence Matrix? of a directed graph by diagram and matrix.,Comprehension
Formulate space utilization in Extended/Dynamic hashing,Synthesis
What is the type of the algorithm used in solving the 8 Queens problem?,Knowledge
"Describe the types of Collision Resolution Techniques and the methods used in
 each of the type.",Comprehension
Define ADT (Abstract Data Type),Knowledge
"Suppose f(n) belongs to O(f(n)) and f2(n) belongs to O(f(n)) , which is true , Support giving suitable reasons",Evaluation
Can you analyse hoe binary tree is different from other trees.,Analysis
"A programmer wants to write a rudimentory scanner that would check unbalanced braces , brakets and sqare brackets in C source file .He maintains a storage list , which could get all open braces brakets . When a closing bracket or braces is seen it is compared with the contents of the this list structure to issue a suitable dignostic . Analyse which storage structure would be the best for this to accomplish",Analysis
List extended Features of ERD,Knowledge
Define lock.,Knowledge
Define the phases of two phase locking protocol.,Knowledge
List out various user authorization to modify the database schema.,Knowledge
Recall the forms of triggers.,Knowledge
Define Normalization,Knowledge
Define keys,Knowledge
Name some security violations (or) name any forms of malicious access.,Knowledge
What is authorization graph?,Knowledge
List the types of authorization.,Knowledge
What is transaction?,Knowledge
What are the states of transaction?,Knowledge
Recall the statements associated with a database transaction,Knowledge
What are the different modes of lock?,Knowledge
Define upgrade and downgrade.,Knowledge
What are the two methods for dealing deadlock problem?,Knowledge
Explain Security and its Violations with examples.,Comprehension
Explain current page table and shadow page table.,Comprehension
What is aggregation? Explain with example?,Comprehension
Explain Project and Union operation of Relational Algebra with example.,Comprehension
Explain when not to use Triggers ?,Comprehension
Explain the two conditions needed for set difference operation to bee valid,Comprehension
Describe the components of an enterprise-class database system and explain the functions they perform,Comprehension
Explain the nature and characteristics of databases.,Comprehension
Explain different states of a transaction.,Comprehension
Discuss the history and development of database processing,Comprehension
Discuss the basic SQL SELECT/FROM/WHERE framework as the basis for database queries.,Comprehension
Discuss the history and significance of Structured Query Language,Comprehension
Explain the ACID properties associated with database transactions.,Comprehension
Describe denormalization.,Comprehension
Describe the two-phase data modeling/database design process,Comprehension
Discuss iterative nature of the data modeling process.,Comprehension
") Consider the following Relational Database.
 Student (roll_no, name,city,marks,c_no)
 Course (c_no,cname,fees)
 Construct Queries into Relational algebra.
 a) List Student Details enrolled for ?BBA (C.A)? Course.
 b) List the Course having fees < 20000
 c) Display all students living in either ?Nasik? or ?Pune? city.
 d) Display Course detail for student ?Gaurav Sharma?.",Application
"Compute canonical cover Fc for the R={A,B,C,D} and FD?s= { A?BC, B?C, A?B ,
  AB?C, AC?D}.",Application
"Consider relational database:
 Supplier (Supno, sname, supaddress)
 Item (Itemno, Iname, stock)
 Supp-Item (Supno, Itemno, rate)
 Write relational algebraic expression for the following
 i. List all suppliers from ?Varanasi? city who supplies PISTON.
 ii. Display all suppliers supply PISTON RINGS
 iii. Change supplier names to upper case
 iv. List all suppliers supplying DOOR Lock from ?Jaipur? city",Application
"Draw the ER diagram for the following relations.Courses (Number, Room). Is it a weak entity set.Depts (Name, BOD),Lab-courses(computer alocation),Theory-courses (name, faculty_ name)",Application
"solve the query givenbelow:Find the names of employees work on project name ?NASA? and born after 1956.Project (project name, Project number, Dept)",Application
"Let us consider a relation with attributes A, B, C, D, E and F. Suppose that this relation has the FD
 AB->, BC->AD, D->E and CF->B . Identufy the closure of {A,B} that is {AB}+",Application
"Construct sql syntax for creating table EMP(EMPNO,ENAME,SALARY,JDATE,DIS).Construct sql syntax for insert two rows in table, delete one row from table, update salary and view whole table.",Application
"For a relation R(A,B,C,D) with the dependency among numeric field values: 6= 2A + B and 9 = 2E.Model the E-R diagram.",Application
"Consider a multilevel index with fan-out=4 used to index 25 records, draw the structure. (1) A->C,
 (2) AB->D. Identify the closure of {A, B}?",Application
